Name,Location,Year,Combustible,Kilometers,Transmission,Power [CV],Price [€],Financed Price,Dealer,Dealer Rating (over 5)
FORD Ka 1.20 Titanium,Alicante,2009, Gasolina,145.300,Manual,69,4.900,Sin financiación,AUTOMÓVILES CARRUS,"4,0"
BMW Serie 1 118d,Barcelona,2015, Diésel,75.000,Manual,150,17.000,Con financiación,ÉLITE MATARÓ,"0,0"
OPEL Meriva 1.6CDTi S&S Ecoflex Selective,Valencia,2017, Diésel,40.134,Manual,110,11.490,Con financiación,SYA MOTOR,"3,5"
AUDI A3 Sportback 40 TFSIe Advanced S tronic,La Coruña,2021, Híbrido Enchufable,4.000,Automático,150,35.600,Con financiación,n/a,n/a
SEAT León 1.0 EcoTSI S&S Reference 115,Barcelona,2018, Gasolina,35.000,Manual,115,12.950,Con financiación,GESTIONCAR Girona,"2,5"
VOLKSWAGEN Golf 2.0 TSI GTI Performance DSG 230,Barcelona,2013, Gasolina,97.500,Automático,230,20.990,Con financiación,GESTIONCAR Martorell,"2,5"
AUDI A1 Sportback 1.0 TFSI Adrenalin,Toledo,2017, Gasolina,56.800,Manual,95,13.900,Sin financiación,n/a,n/a
RENAULT Scénic 1.5dCi Energy Dynamique 110,Cantabria,2013, Diésel,128.991,Manual,110,8.490,Con financiación,"AUTO NORTE, concesionario y servicio oficial","4,5"
OPEL Zafira 1.6CDTI S/S Expression 120,Madrid,2018, Diésel,119.985,Manual,120,13.900,Sin financiación,CarNext.com Madrid,"3,5"
JAGUAR F-Pace 2.0i4D Prestige Aut. AWD 240,Barcelona,2017, Diésel,65.721,Automático,240,39.200,Sin financiación,CarNext.com Barcelona,"3,0"
BMW X5 xDrive 30dA,Barcelona,2021, Diésel,4.100,Automático,286,70.900,Con financiación,DRIVER CARS BCN,"5,0"
PORSCHE Macan Turbo Aut.,Barcelona,2019, Gasolina,13.900,Automático,440,96.900,Con financiación,DRIVER CARS BCN,"5,0"
PORSCHE 911 Carrera 4S Cabriolet PDK,Barcelona,2021, Gasolina,4.800,Automático,450,177.900,Con financiación,DRIVER CARS BCN,"5,0"
MERCEDES-BENZ Clase A 45 S AMG 4Matic+ 8G-DCT,Barcelona,2020, Gasolina,19.900,Automático,422,67.900,Con financiación,DRIVER CARS BCN,"5,0"
